file	width	height
VGM001000354_02_n	1173	899
VGM001000355_01_n	1145	900
VGM001000355_02_n	1145	899
VGM001000356_01_n	1145	903
VGM001000356_02_n	1145	899
VGM001000357_01_n	576	891
VGM001000357_02_n	596	896
VGM001000358_01_n	1145	903
VGM001000358_02_n	1145	900
VGM001000359_01_n	576	886
VGM001000359_02_n	577	885
VGM001000360_01_n	1145	902
VGM001000360_02_n	1135	884
VGM001000360_02_nL	566	884
VGM001000360_02_nR	569	884
VGM001000361_01_n	1114	860
VGM001000361_02_n	1119	860
VGM001000362_01_n	565	859
VGM001000362_02_n	570	862
VGM001000363_01_n	1145	896
VGM001000363_02_n	1145	896
VGM001000364_01_n	588	893
VGM001000364_02_n	595	892
VGM001000365_01_n	1145	892
VGM001000365_02_n	1130	889
VGM001000366_01_n	1128	895
VGM001000366_02_n	1131	889
VGM001000367_01_n	1145	903
VGM001000367_02_n	1145	903
VGM001000368_01_n	1145	903
VGM001000368_02_n	1145	903
VGM001000369_01_n	575	869
VGM001000369_02_n	577	862
VGM001000370_01_n	1145	903
VGM001000370_02_n	1145	903
VGM001000371_01_n	606	888
VGM001000371_02_n	574	877
VGM001000372_01_n	1145	868
VGM001000372_02_n	1135	871
VGM001000373_01_n	1130	872
VGM001000373_02_n	1131	869
VGM001000374_01_n	1126	874
VGM001000374_02_n	1120	863
VGM001000375_01_n	452	575
VGM001000375_02_n	452	577
VGM001000376_01_n	1141	862
VGM001000376_02_n	1138	865
VGM001000377_01_n	1134	872
VGM001000377_02_n	1130	865
VGM001000378_01_n	1135	868
VGM001000378_02_n	1139	866
VGM001000379_01_n	1134	894
VGM001000379_02_n	1132	894
VGM001000380_01_n	1121	897
VGM001000380_02_n	1123	895
VGM001000381_01_n	1134	903
VGM001000381_02_n	1133	896
VGM001000382_01_n	1145	903
VGM001000382_02_n	1145	903
VGM001000383_01_n	1145	903
VGM001000383_02_n	1145	903
VGM001000384_01_n	1161	899
VGM001000384_02_n	1158	903
VGM001000385_01_n	603	898
VGM001000385_02_n	598	890
VGM001000386_01_n	1151	904
VGM001000386_02_n	1147	899
VGM001000387_01_n	1138	893
VGM001000387_02_n	1145	893
VGM001000388_01_n	1145	895
VGM001000388_02_n	1136	893
VGM001000389_01_n	1145	903
VGM001000389_02_n	1135	898
VGM001000390_01_n	1133	882
VGM001000390_02_n	1145	893
VGM001000391_01_n	1145	897
