file	width	height
VGM001000286_02_n	3284	2552
VGM001000287_01_n	1716	2536
VGM001000287_02_n	1676	2548
VGM001000288_01_n	3312	2556
VGM001000288_02_n	3304	2568
VGM001000289_01_n	3252	2540
VGM001000289_02_n	3232	2568
VGM001000290_01_n	1712	2544
VGM001000290_02_n	1664	2544
VGM001000291_01_n	3262	2584
VGM001000291_02_n	3198	2519
VGM001000292_01_n	1668	2544
VGM001000292_02_n	1664	2556
VGM001000293_01_n	2536	1660
VGM001000293_02_n	1684	2552
VGM001000294_01_n	1652	1676
VGM001000294_02_n	1660	1680
VGM001000295_01_n	3248	2540
VGM001000295_02_n	3248	2552
VGM001000296_01_n	1720	2552
VGM001000296_02_n	1672	2560
VGM001000297_01_n	1678	1684
VGM001000297_02_n	1666	1690
VGM001000298_01_n	3232	2552
VGM001000298_02_n	3236	2552
VGM001000299_01_n	1671	2545
VGM001000299_02_n	1645	2534
VGM001000300_01_n	3328	2704
VGM001000300_02_n	3324	2708
VGM001000301_01_n	3200	2536
VGM001000301_02_n	3232	2564
VGM001000302_01_n	3250	2572
VGM001000302_02_n	3243	2529
VGM001000303_01_n	3260	2534
VGM001000303_02_n	3260	2548
VGM001000304_01_n	3244	2544
VGM001000304_02_n	3252	2532
VGM001000305_01_n	1312	1660
VGM001000305_02_n	1328	1652
VGM001000306_01_n	3212	2516
VGM001000306_02_n	3192	2524
VGM001000307_01_n	1648	2528
VGM001000307_02_n	1664	2520
VGM001000308_01_n	1656	2540
VGM001000308_02_n	1640	2520
VGM001000309_01_n	3192	2532
VGM001000309_02_n	3216	2512
VGM001000310_01_n	1656	2512
VGM001000310_02_n	1640	2512
VGM001000311_01_n	1708	2488
VGM001000311_02_n	1632	2508
VGM001000312_01_n	1720	2540
VGM001000312_02_n	1720	2552
VGM001000313_01_n	3260	2528
VGM001000313_02_n	3256	2536
VGM001000314_01_n	3328	2552
VGM001000314_02_n	3312	2576
VGM001000315_01_n	3308	2568
VGM001000315_02_n	3316	2564
VGM001000316_01_n	1720	2546
VGM001000316_02_n	1720	2556
VGM001000317_01_n	3320	2576
VGM001000317_02_n	3304	2556
VGM001000318_01_n	3292	2552
VGM001000318_02_n	3304	2560
VGM001000319_01_n	3236	2564
VGM001000319_02_n	3228	2572
VGM001000320_01_n	3260	2528
VGM001000320_02_n	3272	2560
VGM001000321_01_n	3280	2540
VGM001000321_02_n	3284	2532
VGM001000322_01_n	1720	2572
VGM001000322_02_n	1720	2540
VGM001000323_01_n	3288	2528
VGM001000323_02_n	3272	2532
VGM001000324_01_n	1908	2692
VGM001000324_02_n	1924	2688
VGM001000325_01_n	3292	2544
VGM001000325_02_n	3268	2560
VGM001000326_01_n	3288	2568
VGM001000326_02_n	3300	2556
VGM001000327_01_n	3268	2552
VGM001000327_02_n	3268	2572
VGM001000328_01_n	3292	2564
VGM001000328_02_n	3288	2576
VGM001000329_01_n	3268	2564
VGM001000329_02_n	3252	2548
VGM001000330_01_n	3234	2515
VGM001000330_02_n	3284	2540
VGM001000331_01_n	3260	2536
VGM001000331_02_n	3284	2568
VGM001000332_01_n	3256	2580
VGM001000332_02_n	3300	2552
VGM001000333_01_n	3228	2513
VGM001000333_02_n	3264	2548
VGM001000334_01_n	1684	1692
